Quarter,Age,Gender,Location,Total Stays,Average Length of Stay (in days)
2020Q2,30-39 ,Female,Fife,263,2
2020Q2,30-39 ,Male,Fife,173,2
2020Q2,40-49 ,Female,Fife,263,2
2020Q2,40-49 ,Male,Fife,241,4
2020Q2,50-59 ,Female,Fife,439,4
2020Q2,50-59 ,Male,Fife,420,4
2020Q2,60-69 ,Female,Fife,444,3
2020Q2,60-69 ,Male,Fife,533,6
2020Q2,70-79 ,Female,Fife,548,10
2020Q2,70-79 ,Male,Fife,701,9
2020Q2,80-89 ,Female,Fife,490,13
2020Q2,80-89 ,Male,Fife,452,11
2020Q2,90 +,Female,Fife,160,15
2020Q2,90 +,Male,Fife,78,17
2020Q3,0-9 ,Female,Fife,24,1
2020Q3,0-9 ,Male,Fife,58,1
2020Q3,10-19 ,Female,Fife,93,1
2020Q3,10-19 ,Male,Fife,104,1
2020Q3,20-29 ,Female,Fife,229,2
2020Q3,20-29 ,Male,Fife,204,2
2020Q3,30-39 ,Female,Fife,340,3
2020Q3,30-39 ,Male,Fife,255,2
2020Q3,40-49 ,Female,Fife,349,3
2020Q3,40-49 ,Male,Fife,321,3
2020Q3,50-59 ,Female,Fife,533,3
2020Q3,50-59 ,Male,Fife,543,4
2020Q3,60-69 ,Female,Fife,615,6
2020Q3,60-69 ,Male,Fife,763,8
2020Q3,70-79 ,Female,Fife,759,8
2020Q3,70-79 ,Male,Fife,899,7
2020Q3,80-89 ,Female,Fife,702,11
2020Q3,80-89 ,Male,Fife,596,10
2020Q3,90 +,Female,Fife,205,22
2020Q3,90 +,Male,Fife,96,9
2020Q4,0-9 ,Female,Fife,18,1
2020Q4,0-9 ,Male,Fife,26,1
2020Q4,10-19 ,Female,Fife,72,1
2020Q4,10-19 ,Male,Fife,99,1
2020Q4,20-29 ,Female,Fife,242,2
2020Q4,20-29 ,Male,Fife,167,3
2020Q4,30-39 ,Female,Fife,334,2
2020Q4,30-39 ,Male,Fife,250,2
2020Q4,40-49 ,Female,Fife,346,3
2020Q4,40-49 ,Male,Fife,314,5
2020Q4,50-59 ,Female,Fife,564,3
2020Q4,50-59 ,Male,Fife,536,3
2020Q4,60-69 ,Female,Fife,583,7
2020Q4,60-69 ,Male,Fife,752,7
2020Q4,70-79 ,Female,Fife,805,8
2020Q4,70-79 ,Male,Fife,900,7
2020Q4,80-89 ,Female,Fife,732,14
2020Q4,80-89 ,Male,Fife,618,4
2020Q4,90 +,Female,Fife,211,9
2020Q4,90 +,Male,Fife,115,14
2021Q1,0-9 ,Female,Fife,16,0
2021Q1,0-9 ,Male,Fife,25,1
2021Q1,10-19 ,Female,Fife,61,1
2021Q1,10-19 ,Male,Fife,50,1
2021Q1,20-29 ,Female,Fife,223,1
2021Q1,20-29 ,Male,Fife,164,2
2021Q1,30-39 ,Female,Fife,353,2
2021Q1,30-39 ,Male,Fife,244,2
2021Q1,40-49 ,Female,Fife,342,2
2021Q1,40-49 ,Male,Fife,284,3
2021Q1,50-59 ,Female,Fife,472,3
2021Q1,50-59 ,Male,Fife,521,4
2021Q1,60-69 ,Female,Fife,586,5
2021Q1,60-69 ,Male,Fife,706,4
2021Q1,70-79 ,Female,Fife,728,9
2021Q1,70-79 ,Male,Fife,826,8
2021Q1,80-89 ,Female,Fife,653,12
2021Q1,80-89 ,Male,Fife,537,12
2021Q1,90 +,Female,Fife,248,16
2021Q1,90 +,Male,Fife,150,14
2021Q2,0-9 ,Female,Fife,28,0
2021Q2,0-9 ,Male,Fife,33,0
2021Q2,10-19 ,Female,Fife,100,1
2021Q2,10-19 ,Male,Fife,85,1
2021Q2,20-29 ,Female,Fife,264,2
2021Q2,20-29 ,Male,Fife,182,1
2021Q2,30-39 ,Female,Fife,358,2
2021Q2,30-39 ,Male,Fife,256,2
2021Q2,40-49 ,Female,Fife,411,3
2021Q2,40-49 ,Male,Fife,350,3
2021Q2,50-59 ,Female,Fife,613,4
2021Q2,50-59 ,Male,Fife,570,3
2021Q2,60-69 ,Female,Fife,713,5
2021Q2,60-69 ,Male,Fife,763,6
2021Q2,70-79 ,Female,Fife,889,9
2021Q2,70-79 ,Male,Fife,985,7
2021Q2,80-89 ,Female,Fife,764,12
2021Q2,80-89 ,Male,Fife,645,8
2021Q2,90 +,Female,Fife,252,13
2021Q2,90 +,Male,Fife,129,8
2021Q3,0-9 ,Female,Fife,35,0
2021Q3,0-9 ,Male,Fife,36,1
2021Q3,10-19 ,Female,Fife,112,1
2021Q3,10-19 ,Male,Fife,101,1
2021Q3,20-29 ,Female,Fife,280,2
2021Q3,20-29 ,Male,Fife,188,2
2021Q3,30-39 ,Female,Fife,405,2
2021Q3,30-39 ,Male,Fife,290,2
2021Q3,40-49 ,Female,Fife,335,3
2021Q3,40-49 ,Male,Fife,345,3
2021Q3,50-59 ,Female,Fife,621,3
2021Q3,50-59 ,Male,Fife,556,4
2021Q3,60-69 ,Female,Fife,641,4
2021Q3,60-69 ,Male,Fife,702,6
2021Q3,70-79 ,Female,Fife,903,5
2021Q3,70-79 ,Male,Fife,970,4
2021Q3,80-89 ,Female,Fife,733,12
2021Q3,80-89 ,Male,Fife,642,10
2021Q3,90 +,Female,Fife,231,10
2021Q3,90 +,Male,Fife,143,7
2020Q1,0-9 ,Female,Forth Valley,35,0
2020Q1,0-9 ,Male,Forth Valley,49,1
2020Q1,10-19 ,Female,Forth Valley,123,1
2020Q1,10-19 ,Male,Forth Valley,73,2
2020Q1,20-29 ,Female,Forth Valley,334,1
2020Q1,20-29 ,Male,Forth Valley,235,2
2020Q1,30-39 ,Female,Forth Valley,397,2
2020Q1,30-39 ,Male,Forth Valley,310,2
2020Q1,40-49 ,Female,Forth Valley,402,2
2020Q1,40-49 ,Male,Forth Valley,376,4
2020Q1,50-59 ,Female,Forth Valley,577,4
2020Q1,50-59 ,Male,Forth Valley,592,5
2020Q1,60-69 ,Female,Forth Valley,651,7
2020Q1,60-69 ,Male,Forth Valley,700,5
2020Q1,70-79 ,Female,Forth Valley,838,8
2020Q1,70-79 ,Male,Forth Valley,872,9
2020Q1,80-89 ,Female,Forth Valley,804,15
2020Q1,80-89 ,Male,Forth Valley,579,14
2020Q1,90 +,Female,Forth Valley,230,22
2020Q1,90 +,Male,Forth Valley,135,20
2020Q2,0-9 ,Female,Forth Valley,5,0
2020Q2,0-9 ,Male,Forth Valley,10,1
2020Q2,10-19 ,Female,Forth Valley,80,1
2020Q2,10-19 ,Male,Forth Valley,40,1
2020Q2,20-29 ,Female,Forth Valley,235,1
2020Q2,20-29 ,Male,Forth Valley,162,3
2020Q2,30-39 ,Female,Forth Valley,254,1
2020Q2,30-39 ,Male,Forth Valley,276,2
2020Q2,40-49 ,Female,Forth Valley,301,2
2020Q2,40-49 ,Male,Forth Valley,298,4
2020Q2,50-59 ,Female,Forth Valley,445,3
2020Q2,50-59 ,Male,Forth Valley,446,7
2020Q2,60-69 ,Female,Forth Valley,457,6
2020Q2,60-69 ,Male,Forth Valley,551,5
2020Q2,70-79 ,Female,Forth Valley,560,11
2020Q2,70-79 ,Male,Forth Valley,631,7
2020Q2,80-89 ,Female,Forth Valley,576,13
2020Q2,80-89 ,Male,Forth Valley,432,10
2020Q2,90 +,Female,Forth Valley,156,20
2020Q2,90 +,Male,Forth Valley,95,17
2020Q3,0-9 ,Female,Forth Valley,27,6
2020Q3,0-9 ,Male,Forth Valley,25,1
2020Q3,10-19 ,Female,Forth Valley,93,1
2020Q3,10-19 ,Male,Forth Valley,63,1
2020Q3,20-29 ,Female,Forth Valley,258,1
2020Q3,20-29 ,Male,Forth Valley,217,1
2020Q3,30-39 ,Female,Forth Valley,324,2
2020Q3,30-39 ,Male,Forth Valley,302,2
2020Q3,40-49 ,Female,Forth Valley,419,3
2020Q3,40-49 ,Male,Forth Valley,362,2
2020Q3,50-59 ,Female,Forth Valley,545,4
2020Q3,50-59 ,Male,Forth Valley,554,3
2020Q3,60-69 ,Female,Forth Valley,612,6
2020Q3,60-69 ,Male,Forth Valley,609,5
2020Q3,70-79 ,Female,Forth Valley,764,7
2020Q3,70-79 ,Male,Forth Valley,793,7
2020Q3,80-89 ,Female,Forth Valley,713,11
2020Q3,80-89 ,Male,Forth Valley,621,10
2020Q3,90 +,Female,Forth Valley,186,20
2020Q3,90 +,Male,Forth Valley,111,14
2020Q4,0-9 ,Female,Forth Valley,20,0
2020Q4,0-9 ,Male,Forth Valley,37,0
2020Q4,10-19 ,Female,Forth Valley,93,1
2020Q4,10-19 ,Male,Forth Valley,62,2
2020Q4,20-29 ,Female,Forth Valley,293,1
2020Q4,20-29 ,Male,Forth Valley,196,2
2020Q4,30-39 ,Female,Forth Valley,322,2
2020Q4,30-39 ,Male,Forth Valley,288,2
2020Q4,40-49 ,Female,Forth Valley,422,3
2020Q4,40-49 ,Male,Forth Valley,339,4
2020Q4,50-59 ,Female,Forth Valley,594,3
2020Q4,50-59 ,Male,Forth Valley,602,4
2020Q4,60-69 ,Female,Forth Valley,619,5
2020Q4,60-69 ,Male,Forth Valley,706,6
2020Q4,70-79 ,Female,Forth Valley,802,9
2020Q4,70-79 ,Male,Forth Valley,850,8
2020Q4,80-89 ,Female,Forth Valley,693,11
2020Q4,80-89 ,Male,Forth Valley,589,10
2020Q4,90 +,Female,Forth Valley,228,14
2020Q4,90 +,Male,Forth Valley,121,7
2021Q1,0-9 ,Female,Forth Valley,34,1
2021Q1,0-9 ,Male,Forth Valley,39,0
2021Q1,10-19 ,Female,Forth Valley,74,1
2021Q1,10-19 ,Male,Forth Valley,51,0
2021Q1,20-29 ,Female,Forth Valley,246,1
2021Q1,20-29 ,Male,Forth Valley,200,2
2021Q1,30-39 ,Female,Forth Valley,327,2
2021Q1,30-39 ,Male,Forth Valley,282,2
2021Q1,40-49 ,Female,Forth Valley,388,3
2021Q1,40-49 ,Male,Forth Valley,357,1
2021Q1,50-59 ,Female,Forth Valley,567,5
2021Q1,50-59 ,Male,Forth Valley,570,5
2021Q1,60-69 ,Female,Forth Valley,616,6
2021Q1,60-69 ,Male,Forth Valley,620,6
2021Q1,70-79 ,Female,Forth Valley,717,10
2021Q1,70-79 ,Male,Forth Valley,752,9
2021Q1,80-89 ,Female,Forth Valley,672,13
2021Q1,80-89 ,Male,Forth Valley,552,13
2021Q1,90 +,Female,Forth Valley,206,18
2021Q1,90 +,Male,Forth Valley,118,16
2021Q2,0-9 ,Female,Forth Valley,41,0
2021Q2,0-9 ,Male,Forth Valley,41,0
2021Q2,10-19 ,Female,Forth Valley,95,1
2021Q2,10-19 ,Male,Forth Valley,75,1
2021Q2,20-29 ,Female,Forth Valley,294,1
2021Q2,20-29 ,Male,Forth Valley,238,2
2021Q2,30-39 ,Female,Forth Valley,390,2
2021Q2,30-39 ,Male,Forth Valley,387,2
2021Q2,40-49 ,Female,Forth Valley,480,2
2021Q2,40-49 ,Male,Forth Valley,434,3
2021Q2,50-59 ,Female,Forth Valley,630,4
2021Q2,50-59 ,Male,Forth Valley,619,3
2021Q2,60-69 ,Female,Forth Valley,666,5
2021Q2,60-69 ,Male,Forth Valley,689,5
2021Q2,70-79 ,Female,Forth Valley,867,9
2021Q2,70-79 ,Male,Forth Valley,936,7
2021Q2,80-89 ,Female,Forth Valley,821,14
2021Q2,80-89 ,Male,Forth Valley,615,11
2021Q2,90 +,Female,Forth Valley,221,26
2021Q2,90 +,Male,Forth Valley,130,16
2021Q3,0-9 ,Female,Forth Valley,49,0
2021Q3,0-9 ,Male,Forth Valley,45,0
2021Q3,10-19 ,Female,Forth Valley,92,1
2021Q3,10-19 ,Male,Forth Valley,86,1
2021Q3,20-29 ,Female,Forth Valley,253,1
2021Q3,20-29 ,Male,Forth Valley,202,1
2021Q3,30-39 ,Female,Forth Valley,359,2
2021Q3,30-39 ,Male,Forth Valley,364,2
2021Q3,40-49 ,Female,Forth Valley,413,3
2021Q3,40-49 ,Male,Forth Valley,387,3
2021Q3,50-59 ,Female,Forth Valley,563,4
2021Q3,50-59 ,Male,Forth Valley,572,3
2021Q3,60-69 ,Female,Forth Valley,678,5
2021Q3,60-69 ,Male,Forth Valley,635,7
2021Q3,70-79 ,Female,Forth Valley,777,7
2021Q3,70-79 ,Male,Forth Valley,850,8
2021Q3,80-89 ,Female,Forth Valley,683,13
2021Q3,80-89 ,Male,Forth Valley,564,10
2021Q3,90 +,Female,Forth Valley,190,23
2021Q3,90 +,Male,Forth Valley,113,14
2020Q1,0-9 ,Female,Grampian,153,2
2020Q1,0-9 ,Male,Grampian,144,2
2020Q1,10-19 ,Female,Grampian,162,4
2020Q1,10-19 ,Male,Grampian,185,2
2020Q1,20-29 ,Female,Grampian,424,2
2020Q1,20-29 ,Male,Grampian,316,3
2020Q1,30-39 ,Female,Grampian,465,2
2020Q1,30-39 ,Male,Grampian,415,3
2020Q1,40-49 ,Female,Grampian,540,4
2020Q1,40-49 ,Male,Grampian,551,4
2020Q1,50-59 ,Female,Grampian,817,5
2020Q1,50-59 ,Male,Grampian,873,6
2020Q1,60-69 ,Female,Grampian,996,6
2020Q1,60-69 ,Male,Grampian,1205,5
2020Q1,70-79 ,Female,Grampian,1270,6
2020Q1,70-79 ,Male,Grampian,1478,10
2020Q1,80-89 ,Female,Grampian,1168,11
2020Q1,80-89 ,Male,Grampian,1035,8
2020Q1,90 +,Female,Grampian,330,11
2020Q1,90 +,Male,Grampian,228,7
2020Q2,0-9 ,Female,Grampian,108,1
2020Q2,0-9 ,Male,Grampian,99,2
2020Q2,10-19 ,Female,Grampian,125,2
2020Q2,10-19 ,Male,Grampian,142,2
2020Q2,20-29 ,Female,Grampian,404,4
2020Q2,20-29 ,Male,Grampian,427,2
2020Q2,30-39 ,Female,Grampian,411,2
2020Q2,30-39 ,Male,Grampian,443,2
2020Q2,40-49 ,Female,Grampian,460,2
2020Q2,40-49 ,Male,Grampian,505,3
2020Q2,50-59 ,Female,Grampian,617,5
2020Q2,50-59 ,Male,Grampian,772,4
2020Q2,60-69 ,Female,Grampian,740,5
2020Q2,60-69 ,Male,Grampian,967,7
2020Q2,70-79 ,Female,Grampian,957,8
2020Q2,70-79 ,Male,Grampian,1119,8
2020Q2,80-89 ,Female,Grampian,891,8
2020Q2,80-89 ,Male,Grampian,799,7
2020Q2,90 +,Female,Grampian,253,14
2020Q2,90 +,Male,Grampian,156,7
2020Q3,0-9 ,Female,Grampian,120,2
2020Q3,0-9 ,Male,Grampian,119,1
2020Q3,10-19 ,Female,Grampian,173,2
2020Q3,10-19 ,Male,Grampian,191,2
2020Q3,20-29 ,Female,Grampian,436,2
2020Q3,20-29 ,Male,Grampian,338,3
2020Q3,30-39 ,Female,Grampian,449,2
2020Q3,30-39 ,Male,Grampian,413,4
2020Q3,40-49 ,Female,Grampian,468,4
2020Q3,40-49 ,Male,Grampian,536,3
2020Q3,50-59 ,Female,Grampian,777,3
2020Q3,50-59 ,Male,Grampian,833,4
2020Q3,60-69 ,Female,Grampian,814,6
2020Q3,60-69 ,Male,Grampian,1088,7
2020Q3,70-79 ,Female,Grampian,1013,6
2020Q3,70-79 ,Male,Grampian,1266,8
2020Q3,80-89 ,Female,Grampian,1038,11
2020Q3,80-89 ,Male,Grampian,864,6
2020Q3,90 +,Female,Grampian,310,7
2020Q3,90 +,Male,Grampian,186,17
2020Q4,0-9 ,Female,Grampian,89,1
2020Q4,0-9 ,Male,Grampian,158,2
2020Q4,10-19 ,Female,Grampian,159,2
2020Q4,10-19 ,Male,Grampian,174,3
2020Q4,20-29 ,Female,Grampian,412,3
2020Q4,20-29 ,Male,Grampian,369,2
2020Q4,30-39 ,Female,Grampian,394,4
2020Q4,30-39 ,Male,Grampian,391,4
2020Q4,40-49 ,Female,Grampian,470,3
2020Q4,40-49 ,Male,Grampian,486,4
2020Q4,50-59 ,Female,Grampian,739,5
2020Q4,50-59 ,Male,Grampian,789,5
2020Q4,60-69 ,Female,Grampian,882,6
2020Q4,60-69 ,Male,Grampian,1139,7
2020Q4,70-79 ,Female,Grampian,1119,5
2020Q4,70-79 ,Male,Grampian,1327,5
2020Q4,80-89 ,Female,Grampian,970,7
2020Q4,80-89 ,Male,Grampian,959,6
2020Q4,90 +,Female,Grampian,280,10
2020Q4,90 +,Male,Grampian,200,7
2021Q1,0-9 ,Female,Grampian,108,3
2021Q1,0-9 ,Male,Grampian,124,1
2021Q1,10-19 ,Female,Grampian,158,2
2021Q1,10-19 ,Male,Grampian,167,2
2021Q1,20-29 ,Female,Grampian,385,3
2021Q1,20-29 ,Male,Grampian,308,3
2021Q1,30-39 ,Female,Grampian,408,2
2021Q1,30-39 ,Male,Grampian,373,3
2021Q1,40-49 ,Female,Grampian,463,4
2021Q1,40-49 ,Male,Grampian,460,4
2021Q1,50-59 ,Female,Grampian,665,5
2021Q1,50-59 ,Male,Grampian,750,5
2021Q1,60-69 ,Female,Grampian,818,6
2021Q1,60-69 ,Male,Grampian,1054,8
2021Q1,70-79 ,Female,Grampian,1015,6
2021Q1,70-79 ,Male,Grampian,1203,8
2021Q1,80-89 ,Female,Grampian,950,6
2021Q1,80-89 ,Male,Grampian,957,7
2021Q1,90 +,Female,Grampian,323,10
2021Q1,90 +,Male,Grampian,220,8
2021Q2,0-9 ,Female,Grampian,116,2
2021Q2,0-9 ,Male,Grampian,139,1
2021Q2,10-19 ,Female,Grampian,174,2
2021Q2,10-19 ,Male,Grampian,206,2
2021Q2,20-29 ,Female,Grampian,406,2
2021Q2,20-29 ,Male,Grampian,340,3
2021Q2,30-39 ,Female,Grampian,453,3
2021Q2,30-39 ,Male,Grampian,386,3
2021Q2,40-49 ,Female,Grampian,473,3
2021Q2,40-49 ,Male,Grampian,524,4
2021Q2,50-59 ,Female,Grampian,835,5
2021Q2,50-59 ,Male,Grampian,787,4
2021Q2,60-69 ,Female,Grampian,944,7
2021Q2,60-69 ,Male,Grampian,1145,8
2021Q2,70-79 ,Female,Grampian,1251,6
2021Q2,70-79 ,Male,Grampian,1495,9
2021Q2,80-89 ,Female,Grampian,1103,10
2021Q2,80-89 ,Male,Grampian,1044,7
2021Q2,90 +,Female,Grampian,339,8
2021Q2,90 +,Male,Grampian,251,8
2021Q3,0-9 ,Female,Grampian,140,2
2021Q3,0-9 ,Male,Grampian,139,2
2021Q3,10-19 ,Female,Grampian,168,2
2021Q3,10-19 ,Male,Grampian,220,3
2021Q3,20-29 ,Female,Grampian,432,3
2021Q3,20-29 ,Male,Grampian,390,3
2021Q3,30-39 ,Female,Grampian,483,3
2021Q3,30-39 ,Male,Grampian,474,3
2021Q3,40-49 ,Female,Grampian,530,2
2021Q3,40-49 ,Male,Grampian,522,5
2021Q3,50-59 ,Female,Grampian,782,5
2021Q3,50-59 ,Male,Grampian,858,6
2021Q3,60-69 ,Female,Grampian,1021,5
2021Q3,60-69 ,Male,Grampian,1139,7
2021Q3,70-79 ,Female,Grampian,1169,6
2021Q3,70-79 ,Male,Grampian,1444,9
2021Q3,80-89 ,Female,Grampian,1109,5
2021Q3,80-89 ,Male,Grampian,940,9
2021Q3,90 +,Female,Grampian,330,9
2021Q3,90 +,Male,Grampian,208,8
2020Q1,0-9 ,Female,Greater Glasgow and Clyde,657,3
2020Q1,0-9 ,Male,Greater Glasgow and Clyde,770,1
2020Q1,10-19 ,Female,Greater Glasgow and Clyde,664,3
2020Q1,10-19 ,Male,Greater Glasgow and Clyde,842,3
2020Q1,20-29 ,Female,Greater Glasgow and Clyde,1495,3
2020Q1,20-29 ,Male,Greater Glasgow and Clyde,1222,3
2020Q1,30-39 ,Female,Greater Glasgow and Clyde,1687,4
2020Q1,30-39 ,Male,Greater Glasgow and Clyde,1581,4
2020Q1,40-49 ,Female,Greater Glasgow and Clyde,1894,4
2020Q1,40-49 ,Male,Greater Glasgow and Clyde,1967,5
2020Q1,50-59 ,Female,Greater Glasgow and Clyde,3098,6
2020Q1,50-59 ,Male,Greater Glasgow and Clyde,3190,4
2020Q1,60-69 ,Female,Greater Glasgow and Clyde,3401,8
2020Q1,60-69 ,Male,Greater Glasgow and Clyde,3711,9
2020Q1,70-79 ,Female,Greater Glasgow and Clyde,3838,12
2020Q1,70-79 ,Male,Greater Glasgow and Clyde,3773,11
2020Q1,80-89 ,Female,Greater Glasgow and Clyde,3741,13
2020Q1,80-89 ,Male,Greater Glasgow and Clyde,2503,8
2020Q1,90 +,Female,Greater Glasgow and Clyde,1073,4
2020Q1,90 +,Male,Greater Glasgow and Clyde,522,6
2020Q2,0-9 ,Female,Greater Glasgow and Clyde,321,7
2020Q2,0-9 ,Male,Greater Glasgow and Clyde,414,3
2020Q2,10-19 ,Female,Greater Glasgow and Clyde,335,2
2020Q2,10-19 ,Male,Greater Glasgow and Clyde,414,3
2020Q2,20-29 ,Female,Greater Glasgow and Clyde,1022,3
2020Q2,20-29 ,Male,Greater Glasgow and Clyde,894,3
2020Q2,30-39 ,Female,Greater Glasgow and Clyde,1180,2
2020Q2,30-39 ,Male,Greater Glasgow and Clyde,1263,4
2020Q2,40-49 ,Female,Greater Glasgow and Clyde,1330,4
2020Q2,40-49 ,Male,Greater Glasgow and Clyde,1639,5
2020Q2,50-59 ,Female,Greater Glasgow and Clyde,2065,5
2020Q2,50-59 ,Male,Greater Glasgow and Clyde,2487,4
2020Q2,60-69 ,Female,Greater Glasgow and Clyde,2176,7
2020Q2,60-69 ,Male,Greater Glasgow and Clyde,2639,8
2020Q2,70-79 ,Female,Greater Glasgow and Clyde,2538,11
2020Q2,70-79 ,Male,Greater Glasgow and Clyde,2622,10
2020Q2,80-89 ,Female,Greater Glasgow and Clyde,2432,14
2020Q2,80-89 ,Male,Greater Glasgow and Clyde,1651,10
2020Q2,90 +,Female,Greater Glasgow and Clyde,734,10
2020Q2,90 +,Male,Greater Glasgow and Clyde,359,14
2020Q3,0-9 ,Female,Greater Glasgow and Clyde,471,4
2020Q3,0-9 ,Male,Greater Glasgow and Clyde,639,3
2020Q3,10-19 ,Female,Greater Glasgow and Clyde,533,2
2020Q3,10-19 ,Male,Greater Glasgow and Clyde,646,2
2020Q3,20-29 ,Female,Greater Glasgow and Clyde,1262,3
2020Q3,20-29 ,Male,Greater Glasgow and Clyde,1174,3
2020Q3,30-39 ,Female,Greater Glasgow and Clyde,1630,3
2020Q3,30-39 ,Male,Greater Glasgow and Clyde,1658,3
2020Q3,40-49 ,Female,Greater Glasgow and Clyde,1722,3
2020Q3,40-49 ,Male,Greater Glasgow and Clyde,1986,4
2020Q3,50-59 ,Female,Greater Glasgow and Clyde,2544,5
2020Q3,50-59 ,Male,Greater Glasgow and Clyde,3016,7
2020Q3,60-69 ,Female,Greater Glasgow and Clyde,2891,5
2020Q3,60-69 ,Male,Greater Glasgow and Clyde,3345,9
2020Q3,70-79 ,Female,Greater Glasgow and Clyde,3254,9
2020Q3,70-79 ,Male,Greater Glasgow and Clyde,3330,10
2020Q3,80-89 ,Female,Greater Glasgow and Clyde,3147,13
2020Q3,80-89 ,Male,Greater Glasgow and Clyde,2174,4
2020Q3,90 +,Female,Greater Glasgow and Clyde,935,11
2020Q3,90 +,Male,Greater Glasgow and Clyde,429,9
2020Q4,0-9 ,Female,Greater Glasgow and Clyde,501,3
2020Q4,0-9 ,Male,Greater Glasgow and Clyde,691,9
2020Q4,10-19 ,Female,Greater Glasgow and Clyde,607,2
2020Q4,10-19 ,Male,Greater Glasgow and Clyde,610,2
2020Q4,20-29 ,Female,Greater Glasgow and Clyde,1210,3
2020Q4,20-29 ,Male,Greater Glasgow and Clyde,1055,2
2020Q4,30-39 ,Female,Greater Glasgow and Clyde,1537,3
2020Q4,30-39 ,Male,Greater Glasgow and Clyde,1470,3
2020Q4,40-49 ,Female,Greater Glasgow and Clyde,1650,5
2020Q4,40-49 ,Male,Greater Glasgow and Clyde,1846,4
2020Q4,50-59 ,Female,Greater Glasgow and Clyde,2843,6
2020Q4,50-59 ,Male,Greater Glasgow and Clyde,2984,7
2020Q4,60-69 ,Female,Greater Glasgow and Clyde,2901,5
2020Q4,60-69 ,Male,Greater Glasgow and Clyde,3396,9
2020Q4,70-79 ,Female,Greater Glasgow and Clyde,3394,11
2020Q4,70-79 ,Male,Greater Glasgow and Clyde,3397,7
2020Q4,80-89 ,Female,Greater Glasgow and Clyde,3191,15
2020Q4,80-89 ,Male,Greater Glasgow and Clyde,2309,8
2020Q4,90 +,Female,Greater Glasgow and Clyde,918,18
2020Q4,90 +,Male,Greater Glasgow and Clyde,456,12
2021Q1,0-9 ,Female,Greater Glasgow and Clyde,491,3
2021Q1,0-9 ,Male,Greater Glasgow and Clyde,694,3
2021Q1,10-19 ,Female,Greater Glasgow and Clyde,538,2
2021Q1,10-19 ,Male,Greater Glasgow and Clyde,530,3
2021Q1,20-29 ,Female,Greater Glasgow and Clyde,1200,3
2021Q1,20-29 ,Male,Greater Glasgow and Clyde,1020,2
2021Q1,30-39 ,Female,Greater Glasgow and Clyde,1436,3
